Year,Month,Anomaly
1972.122362,August,0.16
1972.201777,September,0.02
1972.281192,October,0.08
1972.360607,November,0.02
1972.440022,December,0.18
1972.519437,January,0.29
1972.598852,February,0.33
1972.678267,March,0.29
1972.757682,April,0.27
1972.837097,May,0.22
1972.916512,June,0.19
1972.995927,July,0.13
1973.075342,August,0.05
1973.154757,September,0.09
1973.234173,October,0.1
1973.313588,November,0.05
1973.393003,December,-0.07
1973.551833,January,-0.1
1973.631248,February,-0.27
1973.710663,March,-0.05
1973.790078,April,-0.11
1973.869493,May,-0.04
1973.948908,June,-0.05
1974.028323,July,-0.03
1974.107738,August,0.11
1974.187153,September,-0.08
1974.266568,October,-0.05
1974.345983,November,-0.07
1974.425398,December,-0.08
1974.504813,January,0.1
1974.584228,February,0.08
1974.663643,March,0.12
1974.743058,April,0.04
1974.822473,May,0.16
1974.901888,June,-0.01
1974.981303,July,-0.01
1975.060718,August,-0.17
1975.140133,September,-0.03
1975.219548,October,-0.11
1975.298963,November,-0.17
1975.378378,December,-0.17
1975.537208,January,-0.03
1975.616623,February,-0.06
1975.696039,March,-0.21
1975.775454,April,-0.07
1975.854869,May,-0.2
1975.934284,June,-0.12
1976.013699,July,-0.1
1976.093114,August,-0.12
1976.172529,September,-0.06
1976.251944,October,-0.24
1976.331359,November,-0.05
1976.410774,December,0.11
1976.569604,January,0.18
1976.649019,February,0.23
1976.728434,March,0.25
1976.807849,April,0.26
1976.887264,May,0.33
1976.966679,June,0.27
1977.046094,July,0.2
1977.125509,August,0.18
1977.204924,September,0.02
1977.284339,October,0.03
1977.363754,November,0.16
1977.443169,December,0.03
1977.522584,January,0.06
1977.601999,February,0.1
1977.681414,March,0.19
1977.760829,April,0.17
1977.840244,May,0.09
1977.919659,June,-0.01
1977.999074,July,0.04
1978.078489,August,-0.13
1978.157904,September,0.06
1978.23732,October,0.03
1978.316735,November,0.14
1978.39615,December,0.08
1978.55498,January,0.08
1978.634395,February,-0.1
1978.71381,March,0.19
1978.793225,April,0.15
1978.87264,May,0.04
1978.952055,June,0.14
1979.03147,July,0.04
1979.110885,August,0.17
1979.1903,September,0.25
1979.269715,October,0.26
1979.34913,November,0.29
1979.428545,December,0.48
1979.50796,January,0.3
1979.587375,February,0.4
1979.66679,March,0.3
1979.746205,April,0.3
1979.82562,May,0.35
1979.905035,June,0.21
1979.98445,July,0.22
1980.063865,August,0.19
1980.14328,September,0.21
1980.222695,October,0.13
1980.30211,November,0.3
1980.381525,December,0.22
1980.540355,January,0.53
1980.61977,February,0.43
1980.699185,March,0.48
1980.778601,April,0.32
1980.858016,May,0.25
1980.937431,June,0.29
1981.016846,July,0.32
1981.096261,August,0.35
1981.175676,September,0.15
1981.255091,October,0.12
1981.334506,November,0.23
1981.413921,December,0.41
1981.572751,January,0.05
1981.652166,February,0.16
1981.731581,March,0.03
1981.810996,April,0.15
1981.890411,May,0.18
1981.969826,June,0.06
1982.049241,July,0.14
1982.128656,August,0.04
1982.208071,September,0.14
1982.287486,October,0.13
1982.366901,November,0.18
1982.446316,December,0.42
1982.525731,January,0.53
1982.605146,February,0.43
1982.684561,March,0.42
1982.763976,April,0.28
1982.843391,May,0.34
1982.922806,June,0.23
1983.002221,July,0.18
1983.081636,August,0.35
1983.161051,September,0.37
1983.240466,October,0.17
1983.319882,November,0.3
1983.399297,December,0.17
1983.558127,January,0.31
1983.637542,February,0.14
1983.716957,March,0.26
1983.796372,April,0.06
1983.875787,May,0.33
1983.955202,June,0.02
1984.034617,July,0.19
1984.114032,August,0.2
1984.193447,September,0.21
1984.272862,October,0.14
1984.352277,November,0.07
1984.431692,December,-0.04
1984.511107,January,0.22
1984.590522,February,-0.04
1984.669937,March,0.18
1984.749352,April,0.12
1984.828767,May,0.15
1984.908182,June,0.15
1984.987597,July,0.04
1985.067012,August,0.17
1985.146427,September,0.13
1985.225842,October,0.12
1985.305257,November,0.05
1985.384672,December,0.14
1985.543502,January,0.26
1985.622917,February,0.37
1985.702332,March,0.3
1985.781748,April,0.22
1985.861163,May,0.21
1985.940578,June,0.12
1986.019993,July,0.11
1986.099408,August,0.16
1986.178823,September,0.03
1986.258238,October,0.16
1986.337653,November,0.1
1986.417068,December,0.13
1986.575898,January,0.32
1986.655313,February,0.43
1986.734728,March,0.18
1986.814143,April,0.25
1986.893558,May,0.26
1986.972973,June,0.35
1987.052388,July,0.41
1987.131803,August,0.25
